channel_elevation,channel_slope_r,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id,slope,discharge_uncorrected,corrected_discharge,XGB_depth,ridge1_slope,ridge2_slope,ridge1_height,ridge2_height,ridge_height_mean,ridge_slope_mean,ridge_width,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda
40.0,0.0,0.0,4289.999999999875,4.692000000254666,47.02,0.0063333333332729,5.55555555544947e-05,4170.000000000385,124.69199999974536,46.66,0.0,-6.666666666718256e-05,3689.999999999922,604.6920000002083,48.84,0.0006666666666601,2.222222222179472e-05,5430.00000000011,1135.30799999998,47.59,0.0006666666666591,2.2222222221724656e-05,6480.00000000029,2185.30800000016,139.5,243.805555555556,1.2912059908104,139.5,245885,1,1,6817.38568305136,3468.11626251987,1,61302000121,61302000120341,0.000488751416446533,432.189,2267.8032999967577,8.20998,8.633093525179216e-05,0.00023020257826887196,0.36000000000000654,1.25,0.8050000000000033,0.00015826675676033206,2790.0000000003683,0.17663567275049796,0.47100135267649906,0.3238185127134985,0.855056893026057,1.0767383097365162,0.9658976013812866,8.209980010986328,0.04384907143723447,0.15225372026817247,0.09805139585270346,0.03175085717450493
39.5,0.0,0.0,4559.999999999975,9.409161290310294,46.09,0.0026666666666765,-0.0001888888888892,4439.999999999955,110.59083870970971,45.83,0.0009999999999998,-3.333333333307084e-05,4110.00000000002,440.59083870964514,46.28,0.0083333333333957,0.0001888888888927,4709.999999999884,159.40916129021844,44.86,0.0003333333333345,-0.0002000000000006,5009.999999999931,459.4091612902657,152.0,218.0,1.2912059908104,152.0,244900,1,1,6822.26559147696,3468.11626251987,1,61302000121,61302000120291,0.000488751416446533,432.189,2267.8032999967577,7.2714586,5.8558558558560296e-05,0.00030148619957537934,0.2600000000000051,1.4200000000000017,0.8400000000000034,0.00018002237906696982,899.9999999999109,0.11981256030787649,0.6168497715409904,0.36833116592443343,0.9062830910738912,0.9324126490866435,0.9193478700802673,7.271458625793457,0.03575623728060944,0.19528406514794028,0.11552015121427486,0.04254967198452071
39.5,0.0,0.0,5400.000000000047,2.812903225744776,44.82,0.0019999999999831,5.555555555462015e-05,5100.000000000251,297.1870967740515,43.48,0.0003333333333306,-2.222222222252838e-05,3780.000000000048,1617.1870967742543,45.1,0.0036666666666356,6.666666666438823e-05,5849.999999999965,452.8129032256629,43.62,0.0020000000000243,4.444444444604354e-05,6989.999999999709,1592.8129032254064,164.5,284.555555555556,1.50258007400095,164.5,240923,1,1,6841.78522517939,1712.74066026563,1,61302000121,61302000120091,0.000488751416446533,432.189,2267.8032999967577,7.3987193,0.00026274509803920343,0.00025299145299145516,1.3400000000000034,1.480000000000004,1.4100000000000037,0.00025786827551532927,3209.9999999996608,0.5375843203677885,0.5176280711999351,0.5276061957838618,0.7190433609587994,0.7568877483776837,0.7379655546682415,7.398719310760498,0.18111242550466045,0.20003461921410262,0.19057352235938152,0.10054777114916401
39.0,0.0,0.0,5189.999999999839,7.848387096860279,44.83,0.0,-2.222222222216641e-05,4920.0000000003765,277.8483870963228,43.44,0.0,0.0,3899.999999999875,1297.8483870968244,45.12,0.0006666666666656,0.0,5430.000000000173,232.1516129034735,44.44,0.0006666666666658,-3.3333333333237776e-05,5849.999999999835,652.1516129031361,175.0,233.916666666667,1.43781689682017,175.0,239928,1,1,6846.35030080335,1518.02047890019,1,61302000121,61302000120041,0.000488751416446533,432.189,2267.8032999967577,7.333719,0.00028252032520323053,0.00012523020257826484,1.3900000000000006,0.6799999999999997,1.0350000000000001,0.0002038752638907477,1949.9999999999604,0.5780450259506038,0.2562247358560124,0.4171348809033081,0.7949582166308633,0.8345015927582989,0.8147299046945811,7.333718776702881,0.18953549247288176,0.09272239919536654,0.14112894583412416,0.0588698060125268
39.0,0.0,0.0,2580.0000000000705,10.255741935437982,44.62,0.0096666666666516,6.666666665997838e-05,2399.9999999996576,169.74425806497493,41.67,0.0013333333333312,-5.55555555553806e-05,1739.9999999998238,829.7442580648087,45.46,0.0023333333333296,-4.444444444403423e-05,2940.000000000068,370.2557419354357,43.53,0.0003333333333327,-3.3333333333231515e-05,3750.0000000002015,1180.255741935569,87.0,77.04,1.21172664583331,87.0,238526,1,1,6853.11920603887,2318.36690839624,1,61302000111,61302000110471,0.000612200984822189,444.248,2336.626752611172,11.023573,0.0012291666666668403,0.0006564625850339983,2.9499999999999957,1.9299999999999997,2.4399999999999977,0.0009428146258504193,2010.0000000003777,2.007782896696656,1.0722991326527591,1.5400410146747077,0.5098165576525551,0.5860168972305174,0.5479167274415362,11.02357292175293,0.26760833542260426,0.17507935164936506,0.22134384353598466,0.34087859739115756
37.0,0.0,0.0,3210.00000000042,6.483096774686601,41.56,0.0016666666666736,1.0694570229442243e-16,2849.9999999998013,353.51690322593186,41.34,0.000333333333334,0.0,2609.9999999997167,593.5169032260164,41.98,0.020333333333381,-0.0001333333333354,3359.9999999999577,156.48309677422458,42.03,0.000666666666668,2.222222222232088e-05,3689.9999999998336,486.4830967741004,108.0,257.25,1.07400355274451,108.0,234577,1,1,6871.85175773717,2144.74805628926,1,61302000111,61302000110271,0.000612200984822189,444.248,2336.626752611172,8.903193,7.719298245614533e-05,-1.4880952380953838e-05,0.21999999999999886,-0.05000000000000426,0.0849999999999973,3.1156015037595746e-05,1080.0000000001169,0.1260909151895038,0.02430729899148389,0.07519910709049385,0.5121757730426565,0.559349857401848,0.5357628152222522,8.903193473815918,0.02471023466433855,-0.005615962423713815,0.009547136120312367,0.0007179361115188916
36.5,0.0,-0.0037444444444407,2940.000000000028,2.663612903196281,41.94,0.0003333333333331,-8.888888888879958e-05,2670.000000000024,272.6636129031999,41.47,0.0003333333333344,8.800107633371358e-17,1799.9999999999864,1142.6636129032377,41.2,0.1733333333332309,0.0057777777777709,3150.0000000000086,207.33638709678465,40.65,0.0013333333333273,4.444444444404871e-05,3510.0000000000514,567.3363870968274,92.0,134.244897959184,1.17486157350514,92.0,233579,1,1,6876.73166616277,2759.57427399682,1,61302000111,61302000110221,0.000612200984822189,444.248,2336.626752611172,9.996236,0.00017602996254681446,0.0001746031746031755,0.46999999999999886,0.5500000000000043,0.5100000000000016,0.000175316568574995,1710.000000000065,0.2875362289688926,0.2852056415000511,0.2863709352344719,0.5442048470049978,0.47017698178740674,0.5071909143962023,9.996235847473145,0.04701769817874053,0.05502071063469693,0.05101920440671873,0.01461041728087073
35.5,0.0,0.0,4470.0000000002665,14.02335483909428,41.33,0.0013333333333565,2.2222222223691663e-05,4709.999999999806,254.02335483863408,40.64,0.000333333333339,1.1111111111496952e-05,5129.999999999931,674.0233548387587,41.21,0.0026666666666303,-0.0003000000000038,4110.000000000028,345.976645161144,40.21,0.0009999999999864,2.222222222127797e-05,3419.999999999956,1035.9766451612163,152.0,28.1388888888889,1.19167124363191,152.0,232585,1,1,6881.61157458838,2862.04531028141,1,61302000111,61302000110171,0.000612200984822189,444.248,2336.626752611172,7.2436647,0.00014649681528662974,0.00024330900243308836,0.6899999999999977,1.0,0.8449999999999989,0.00019490290885985906,1709.999999999975,0.2392952950397149,0.3974332097877241,0.3183642524137195,0.8048412244407336,0.7882750242807188,0.7965581243607263,7.243664741516113,0.09525565092008653,0.13805166800012586,0.1166536594601062,0.03713835508534133
35.5,0.0,0.0,5370.000000000109,14.15999999972246,41.71,0.0,-0.0003444444444514,4589.999999999629,794.1600000002027,39.6,0.0019999999999891,1.1111111110991656e-05,4020.00000000028,1364.1599999995517,41.2,0.0059999999999677,0.0001888888888868,5550.000000000147,165.84000000031574,40.76,0.0003333333333418,3.4425948782365803e-16,5969.999999999618,585.8399999997864,180.0,45.3469387755102,1.02113564006926,180.0,231609,1,1,6886.80631581564,2101.67933941141,1,61302000111,61302000110121,0.000612200984822189,444.248,2336.626752611172,6.9000134,0.00045969498910679085,7.927927927927805e-05,2.1099999999999994,0.44000000000000483,1.2750000000000021,0.00026948713419303445,1949.9999999993381,0.7508890062310292,0.12949877776218272,0.44019389199660597,0.899998246071958,0.826085346636097,0.8630417963540276,6.900013446807861,0.3057965055091515,0.06376799167015552,0.1847822485896535,0.08134001717856393
35.0,0.0,-0.0049111111111006,2790.000000000012,8.183999999992466,39.19,0.0189999999996872,0.0006333333333124,2970.00000000022,188.18400000020077,38.66,0.0,-4.44444444443564e-05,3179.999999999998,398.1839999999788,39.42,0.0026666666666227,6.666666666379519e-05,2700.000000000361,81.81599999965829,38.72,0.000333333333338,-5.555555555509983e-05,2279.9999999998818,501.8160000001376,93.0,103.472222222222,1.89582485535417,93.0,228223,1,1,6903.17762150155,2517.5999897623,1,61302000101,61302000100451,0.000295438574691466,462.398,2440.5162365227193,9.676438,0.00017845117845116562,0.00025925925925922565,0.5300000000000011,0.7000000000000028,0.615000000000002,0.00021885521885519564,900.0000000001164,0.6040212542912743,0.8775403128382158,0.7407807835647451,0.4330105619869586,0.4567796381819472,0.4448951000844529,9.676438331604004,0.05477221905801639,0.07234066668039914,0.06355644286920777,0.04708139154923968
